emoji,name,senti,count,conflict_rate,use_percentage
😂, Face With Tears Of Joy ,positive,1179,0.3102541630148992,0.1161576354679803
😊, Smiling Face With Smiling Eyes ,positive,858,0.042440318302387266,0.0845320197044335
💪, Flexed Biceps ,positive,638,0.045454545454545456,0.06285714285714286
🎉, Party Popper ,positive,589,0.07849829351535836,0.058029556650246304
😄, Grinning Face With Smiling Eyes ,positive,512,0.04430379746835443,0.050443349753694584
💸, Money With Wings ,neutral,289,0.0,0.028472906403940887
🙏, Folded Hands ,positive,247,0.044534412955465584,0.02433497536945813
💡, Light Bulb ,neutral,218,0.0,0.021477832512315272
♀, Female Sign ,positive,201,0.0,0.01980295566502463
👏, Clapping Hands ,positive,195,0.035897435897435895,0.01921182266009852
🤣, Rolling On The Floor Laughing ,neutral,170,0.0,0.016748768472906402
🚀, Rocket ,positive,169,0.07228915662650602,0.01665024630541872
👀, Eyes ,positive,156,0.08333333333333333,0.015369458128078817
🌟, Glowing Star ,positive,150,0.026845637583892617,0.014778325123152709
🔥, Fire ,positive,148,0.10135135135135136,0.01458128078817734
🤝, Handshake ,positive,146,0.020689655172413793,0.01438423645320197
📚, Books ,neutral,138,0.0,0.013596059113300493
💕, Two Hearts ,positive,137,0.0072992700729927005,0.013497536945812807
👍, Thumbs Up ,positive,128,0.03937007874015748,0.012610837438423646
🤷, Person Shrugging ,neutral,103,0.0,0.010147783251231527
📝, Memo ,positive,102,0.0594059405940594,0.010049261083743842
🌊, Water Wave ,positive,98,0.061224489795918366,0.009655172413793104
📊, Bar Chart ,neutral,90,0.0,0.008866995073891626
💻, Laptop Computer ,positive,86,0.05813953488372093,0.008472906403940886
✨, Sparkles ,positive,83,0.02631578947368421,0.008177339901477832
🌈, Rainbow ,positive,81,0.0375,0.007980295566502463
😅, Grinning Face With Sweat ,positive,80,0.25,0.007881773399014778
🕰, Mantelpiece Clock ,positive,78,0.20512820512820512,0.007684729064039409
🏃, Person Running ,neutral,75,0.0,0.007389162561576354
👑, Crown ,positive,75,0.04,0.007389162561576354
💯, Hundred Points ,positive,70,0.04285714285714286,0.006896551724137931
❤, Red Heart ,positive,67,0.04477611940298507,0.0066009852216748766
🙌, Raising Hands ,positive,67,0.07462686567164178,0.0066009852216748766
🏠, House ,neutral,62,0.0,0.006108374384236453
🤓, Nerd Face ,positive,60,0.1,0.005911330049261084
💧, Droplet ,positive,57,0.22807017543859648,0.00561576354679803
😎, Smiling Face With Sunglasses ,positive,56,0.01818181818181818,0.005517241379310344
💫, Dizzy ,positive,55,0.01818181818181818,0.00541871921182266
📈, Chart Increasing ,neutral,55,0.0,0.00541871921182266
😍, Smiling Face With Heart-Eyes ,positive,54,0.05555555555555555,0.005320197044334975
🤑, Money-Mouth Face ,neutral,54,0.0,0.005320197044334975
🍴, Fork And Knife ,positive,54,0.09433962264150944,0.005320197044334975
💬, Speech Balloon ,positive,53,0.09433962264150944,0.005221674876847291
🏆, Trophy ,positive,51,0.08888888888888889,0.005024630541871921
🚨, Police Car Light ,neutral,49,0.0,0.004827586206896552
🔍, Magnifying Glass Tilted Left ,neutral,49,0.0,0.004827586206896552
🤖, Robot Face ,positive,47,0.10638297872340426,0.004630541871921182
❄, Snowflake ,positive,44,0.1590909090909091,0.004334975369458128
🏋, Person Lifting Weights ,neutral,44,0.0,0.004334975369458128
🎊, Confetti Ball ,positive,44,0.09090909090909091,0.004334975369458128
📱, Mobile Phone ,positive,42,0.0,0.004137931034482759
👫, Man And Woman Holding Hands ,positive,42,0.047619047619047616,0.004137931034482759
🚗, Automobile ,neutral,39,0.0,0.0038423645320197044
👥, Busts In Silhouette ,neutral,37,0.0,0.003645320197044335
🎨, Artist Palette ,positive,37,0.0,0.003645320197044335
🔄, Counterclockwise Arrows Button ,positive,36,0.08333333333333333,0.0035467980295566504
💆, Person Getting Massage ,positive,35,0.02857142857142857,0.0034482758620689655
🌳, Deciduous Tree ,positive,34,0.029411764705882353,0.003349753694581281
🌪, Tornado ,positive,33,0.18181818181818182,0.003251231527093596
💖, Sparkling Heart ,positive,33,0.0,0.003251231527093596
💦, Sweat Droplets ,neutral,31,0.0,0.0030541871921182266
💃, Woman Dancing ,positive,30,0.03333333333333333,0.002955665024630542
👨, Man ,positive,29,0.0,0.002857142857142857
🌞, Sun With Face ,positive,28,0.12,0.002758620689655172
💨, Dashing Away ,positive,26,0.11538461538461539,0.0025615763546798028
📺, Television ,neutral,25,0.0,0.0024630541871921183
😈, Smiling Face With Horns ,neutral,24,0.0,0.0023645320197044333
👮, Police Officer ,neutral,24,0.0,0.0023645320197044333
👦, Boy ,positive,24,0.0,0.0023645320197044333
